鲁迅	中国	我的确时时解剖别人，然而更多的是更无情面地解剖我自己。	《写在后面》（1926年）
鲁迅	中国	惟有民魂是值得宝贵的，惟有他发扬起来，中国才有真进步。	《学界的三魂》（1926年）
鲁迅	中国	有许多事情都只剩下一个空名和假样，就为了不认真的缘故。	《读后感》（1934年）
鲁迅	中国	当我沉默着的时候，我觉得充实；我将开口，同时感到空虚。	《野草题辞》（1927年）
鲁迅	中国	苛求君子，宽纵小人，自以为明察秋毫，而实则反助小人张目。	《「题未定」草（六至九）》（1935年）
鲁迅	中国	我所佩服诸公的只有一点，是这种东西也居然会有发表的勇气。	《估 》（1922年）
鲁迅	中国	单靠「策略」，是没有用的，有真切的见解，才有精明的行为。	《又论「第三种人」》（1933年）
鲁迅	中国	只有自己懂得或流自己也不懂的生造出来的字句，是不大用的。	《我怎么做起小说来？》（1933年）
鲁迅	中国	卑怯的人，即使有万丈的愤火，除弱草以外，又能烧掉甚么呢？	《杂忆》（1925年）
鲁迅	中国	希望是附丽于存在的，有存在，便有希望，有希望，便是光明。	《记谈话》（1926年）
鲁迅	中国	研究是要用理智，要冷静的，而创作须情感，至少总得发点热。	《读书杂谈》（1927年）
鲁迅	中国	专制者的反面就是奴才，有权时无所不为，失势时即奴性十足。	《谚语》（1933年）
鲁迅	中国	自然，我不是木石，倘有人给我一拳，我有时也会还他一脚的。	《通信（复魏猛克）》（1933年）
鲁迅	中国	他说不新鲜，一定也有他的道理，不加以查看就抹杀是不对的。	萧红《回忆鲁迅先生》（1939年）中对鲁迅言论的回忆
鲁迅	中国	逝去，逝去，一切一切，和光阴一同早逝去，在逝去，要逝去了。	《写在后面》（1926年）
鲁迅	中国	曾经阔气的要复古，正在阔气的要保持现状，未曾阔气的要革新。	《小杂感》（1927年）
鲁迅	中国	非写实的讽刺，即使能有这样的东西，也不过是造谣和诬蔑而已。	《论讽刺》（1935年）
鲁迅	中国	为什么人类成了人，猴子终于是猴子呢？这就因为猴子不肯变化。	《革命时代的文学》（1927年）
鲁迅	中国	延长我的生命，倒不尽是为了我的爱人，大大半乃是为了我的敌人。	《〈坟〉的题记》（1926年）
鲁迅	中国	志愿愈大，希望愈高，可以致力之处就愈少，可以自解之处也愈多。	《叶紫作序》（1935年）
鲁迅	中国	专门家除了他的专长之外，许多见识是往往不及博识家或常识者的。	《名人和名言》（1935年）
鲁迅	中国	文艺是国民精神所发的火光，同时也是引导国民精神的前途的灯火。	《论睁了眼看》（1925年）
鲁迅	中国	运命并不是中国人的事前的指导，乃是事后的一种不费心思的解释。	《运命》（1934年）
鲁迅	中国	因为我要过活。你懂得么？这也是生活呀。我要看来看去的看一下。	《这也是生活》（1936年）
鲁迅	中国	时间就是性命。无端的空耗别人的时间，其实是无异于谋财害命的。	《门外文谈》（1934年） 衍生语句1：时间就是生命。无缘无故地耗费别人的时间，和图财害命没有什么两样。 衍生语句2：生命是以时间为单位的，浪费别人的时间等于谋财害命，浪费自己的时间等于慢性自杀。
鲁迅	中国	文学史上，我没有见过用阴谋除去了文学上的敌手，便成为文豪的人。	《致韦素园》（1931年2月2日）
鲁迅	中国	悲剧将人生的有价值的东西毁灭给人看，喜剧将那无价值的撕破给人看。	《再论雷峰塔的倒掉》（1925年）
鲁迅	中国	发见，这是积极的事业。哥仑布与爱迪生，也不过有了发见或发明而已。	《外国也有》（1933年）
鲁迅	中国	「急不择言」的病源，并不在没有想的工夫，而在有工夫的时候没有想。	《忽然想到·十一》（1925年）
